id,domain,topic,question_type,difficulty,question,question_en,question_fr,question_ar,question_de,question_pt,question_es,languages
Q0001,coding,machine learning code,case_study,hard,Analyze a case study where machine learning code played an important role.,Analyze a case study where machine learning code played an important role.,Analyse une étude de cas où code d’apprentissage automatique a joué un rôle important.,حلّل دراسة حالة لعب فيها كود تعلم الآلة دورًا مهمًا.,"Analysiere eine Fallstudie, in der Machine-Learning-Code eine wichtige Rolle gespielt hat.",Analise um estudo de caso em que código de aprendizado de máquina teve um papel importante.,Analiza un caso en el que código de aprendizaje automático desempeñó un papel importante.,"en,fr,ar,de,pt,es"
Q0002,coding,authentication,advantages_limitations,medium,"What benefits does authentication provide, and what risks should people consider?","What benefits does authentication provide, and what risks should people consider?",Quels sont les avantages et les limites de l’authentification ?,ما مزايا وحدود المصادقة؟,Welche Vorteile und Grenzen hat Authentifizierung?,Quais são as vantagens e limitações de autenticação?,¿Cuáles son las ventajas y limitaciones de autenticación?,"en,fr,ar,de,pt,es"
Q0003,coding,machine learning code,history_change,medium,What major developments shaped the modern understanding of machine learning code?,What major developments shaped the modern understanding of machine learning code?,Comment code d’apprentissage automatique a-t-il évolué au fil du temps ?,كيف تغيّر كود تعلم الآلة مع مرور الوقت؟,Wie hat sich Machine-Learning-Code im Laufe der Zeit verändert?,Como código de aprendizado de máquina mudou ao longo do tempo?,¿Cómo ha cambiado código de aprendizaje automático con el tiempo?,"en,fr,ar,de,pt,es"
Q0004,coding,frontend development,compare,medium,How is frontend development similar to and different from backend development?,How is frontend development similar to and different from backend development?,Peux-tu comparer le développement frontend avec une autre idée de programmation ?,هل يمكنك مقارنة تطوير الواجهة الأمامية بفكرة أخرى من مجال البرمجة؟,Kannst du Frontend-Entwicklung mit einer anderen Idee aus Programmierung vergleichen?,Você pode comparar desenvolvimento frontend com outra ideia de programação?,¿Puedes comparar desarrollo frontend con otra idea de programación?,"en,fr,ar,de,pt,es"
Q0005,coding,backend development,expert_importance,medium,What debates do experts have about backend development?,What debates do experts have about backend development?,Pourquoi les experts en programmation s’intéressent-ils à le développement backend ?,لماذا يهتم خبراء البرمجة بـ تطوير الواجهة الخلفية؟,Warum interessieren sich Experten für Programmierung für Backend-Entwicklung?,Por que especialistas em programação se importam com desenvolvimento backend?,¿Por qué los expertos en programación se interesan por desarrollo backend?,"en,fr,ar,de,pt,es"
Q0006,coding,recursion,expert_importance,medium,What debates do experts have about recursion?,What debates do experts have about recursion?,Pourquoi les experts en programmation s’intéressent-ils à la récursivité ?,لماذا يهتم خبراء البرمجة بـ الاستدعاء الذاتي؟,Warum interessieren sich Experten für Programmierung für Rekursion?,Por que especialistas em programação se importam com recursão?,¿Por qué los expertos en programación se interesan por recursión?,"en,fr,ar,de,pt,es"
Q0007,coding,software architecture,beginner_explanation,easy,How would you explain software architecture to a 12-year-old learner?,How would you explain software architecture to a 12-year-old learner?,Comment expliquerais-tu l’architecture logicielle à un débutant qui étudie programmation ?,كيف تشرح هندسة البرمجيات لمبتدئ يدرس البرمجة؟,"Wie würdest du Softwarearchitektur einem Anfänger erklären, der Programmierung lernt?",Como você explicaria arquitetura de software para um iniciante que estuda programação?,¿Cómo explicarías arquitectura de software a un principiante que estudia programación?,"en,fr,ar,de,pt,es"
Q0008,coding,authentication,case_study,hard,What lessons can be learned from a real or imagined case involving authentication?,What lessons can be learned from a real or imagined case involving authentication?,Analyse une étude de cas où l’authentification a joué un rôle important.,حلّل دراسة حالة لعب فيها المصادقة دورًا مهمًا.,"Analysiere eine Fallstudie, in der Authentifizierung eine wichtige Rolle gespielt hat.",Analise um estudo de caso em que autenticação teve um papel importante.,Analiza un caso en el que autenticación desempeñó un papel importante.,"en,fr,ar,de,pt,es"
Q0009,coding,debugging,prompt_ai,medium,What answer format should an AI agent use for a question about debugging?,What answer format should an AI agent use for a question about debugging?,Quel format de réponse un agent IA devrait-il utiliser pour une question sur le débogage ?,ما تنسيق الإجابة الذي يجب أن يستخدمه وكيل ذكاء اصطناعي لسؤال حول تصحيح الأخطاء؟,Welches Antwortformat sollte ein KI-Agent für eine Frage über Debugging verwenden?,Que formato de resposta um agente de IA deve usar para uma pergunta sobre depuração?,¿Qué formato de respuesta debería usar un agente de IA para una pregunta sobre depuración?,"en,fr,ar,de,pt,es"
Q0010,coding,mobile apps,analysis_steps,medium,What steps would you follow to analyze mobile apps?,What steps would you follow to analyze mobile apps?,Quelles étapes suivrais-tu pour analyser les applications mobiles ?,ما الخطوات التي ستتبعها لتحليل تطبيقات الهاتف المحمول؟,"Welche Schritte würdest du befolgen, um mobile Apps zu analysieren?",Quais etapas você seguiria para analisar aplicativos móveis?,¿Qué pasos seguirías para analizar aplicaciones móviles?,"en,fr,ar,de,pt,es"
